title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Case 39,2009-08-13,8896753,Q1164919,6.29,19.964,29000000,146330
Zoolander 2,2016-02-06,46405518,Q19842552,4.888,22.338,56722693,79638
National Lampoon's Christmas Vacation,1989-11-30,1125221,Q1421476,7.214,26.158,71319546,541718
The Spy Who Dumped Me,2018-08-02,54616372,Q33256094,6.399,19.838,33562069,41523
The Legend of 1900,1998-10-28,1825320,Q1146711,8.265,18.018,21057208,9353
Punch-Drunk Love,2002-10-25,630721,Q580716,7.132,21.752,24665649,165688
The Banshees of Inisherin,2022-10-20,63145041,Q108314506,7.474,26.625,49262687,418132
The Bank Job,2008-02-28,12160883,Q790071,6.823,25.532,64828421,63766
Shanghai Knights,2003-02-06,194249,Q595595,6.126,17.475,88323487,39295
A Rainy Day in New York,2019-07-26,54594856,Q42307699,6.499,1.473,23800000,99683
Tears of the Sun,2003-03-07,1128661,Q459889,6.839,36.173,86468162,78603
Superman II,1980-12-04,1059280,Q267672,6.731,23.873,190458706,130159
Tron,1982-07-09,312757,Q626483,6.668,22.842,33000000,251484
Men of Honor,2000-09-13,1685440,Q926671,7.46,24.164,82343495,166913
Mr. Deeds,2002-06-28,594105,Q59595,5.839,20.406,171269535,146904
Guns Akimbo,2020-02-27,57463268,Q55080292,6.5,15.255,835102,47148
Ip Man 2,2010-04-29,22475851,Q1193433,7.5,4.28,36000000,3642
8½,1963-02-14,318810,Q12018,8.173,14.255,0,137892
The Fundamentals of Caring,2016-06-16,45355596,Q19363785,7.31,10.564,0,39511
Charlie St. Cloud,2010-07-30,24162851,Q581201,6.932,19.604,48190704,63011
Dead Silence,2007-03-16,6098808,Q543403,6.4,35.662,22217407,95961
The Smurfs 2,2013-07-30,35627063,Q1253366,5.768,33.191,347434178,30441
Just Mercy,2019-12-25,58100727,Q56419916,7.903,14.476,50401502,125066
Meg 2: The Trench,2023-08-02,63287864,Q110842446,6.912,1567.273,384056482,261270
Spy Kids 3-D: Game Over,2003-07-25,194693,Q550196,5.1,40.707,197011982,158127
Paranormal Activity 3,2011-10-19,30695973,Q1056921,5.901,32.178,207039844,74202
Kramer vs. Kramer,1979-12-07,103026,Q193577,7.555,15.286,106260000,200539
Coming 2 America,2021-03-04,61593924,Q64069446,6.475,23.252,0,153921
Mile 22,2018-08-16,48385530,Q50344898,6.198,19.766,66308758,51217
The Apartment,1960-06-21,43849,Q270510,8.222,24.186,25000000,127250
This Is 40,2012-12-20,31930998,Q1090390,5.861,17.926,88215156,187305
Run Lola Run,1998-03-03,462764,Q468697,7.321,18.341,7267585,121259
Freedom Writers,2007-01-05,7764212,Q288150,7.911,29.828,43095175,128030
Alvin and the Chipmunks: Chipwrecked,2011-12-14,32506361,Q303678,5.698,32.036,342695435,66893
Spy Kids 2: The Island of Lost Dreams,2002-08-07,33577424,Q549908,5.59,39.196,119723358,75218
Only Lovers Left Alive,2013-12-12,34888850,Q3352751,7.252,20.758,7600000,89939
Piranha 3D,2010-08-20,19942818,Q733995,5.388,37.262,83188165,120463
3 Days to Kill,2014-02-14,39067448,Q3525931,6.068,25.75,53260230,53406
Last Vegas,2013-10-31,36800446,Q866048,6.402,20.121,134402450,41022
Shaolin Soccer,2001-07-05,538995,Q536299,7.076,38.382,42776760,49156
Galaxy Quest,1999-12-25,13149,Q502067,7.062,18.364,90683916,197775
The Nutcracker and the Four Realms,2018-10-26,53653660,Q24290097,6.079,16.937,59522646,59320
Das Boot,1981-09-17,8994,Q62730,8.083,32.423,85000000,122009
Cinderella Man,2005-06-02,1424754,Q647546,7.531,16.786,108539911,158705
Creed III,2023-03-01,63560505,Q110664384,7.194,164.985,275248615,262018
Once Upon a Time in Mexico,2003-09-11,590462,Q93853,6.279,18.545,98185582,100866
The Naked Gun 2½: The Smell of Fear,1991-06-28,924771,Q502979,6.774,34.268,86930411,42400
Garfield: A Tail of Two Kitties,2006-06-15,3251133,Q587921,5.548,24.915,141702264,43489
The Human Centipede (First Sequence),2009-10-31,24642031,Q854419,5.2,34.308,252207,319872
Sinister 2,2015-08-19,43653262,Q18154069,5.876,19.361,53329150,211537
Killing Them Softly,2012-07-30,31066828,Q136264,6.049,18.053,37930465,111831
The Karate Kid Part II,1986-06-18,1107088,Q1418251,6.259,24.245,115103979,116758
Butch Cassidy and the Sundance Kid,1969-01-15,99031,Q232000,7.604,23.266,102308889,178601
The Pope's Exorcist,2023-04-05,71175560,Q116733128,7.144,196.08,70204828,193413
Holidate,2020-10-27,60765515,Q63864219,7.053,13.897,0,51382
Triple 9,2016-02-19,41870063,Q17144452,5.963,18.853,12639297,62970
The Lego Movie 2: The Second Part,2019-02-06,42026670,Q23796643,6.682,20.581,199603202,120825
Magic in the Moonlight,2014-07-25,40098931,Q14511869,6.494,11.255,51029361,4849
Daddy Day Care,2003-05-09,240907,Q980223,5.895,21.538,164433867,76563
Three Men and a Leg,1997-12-27,51564793,Q3998161,7.963,9.929,0,418
Thank You for Smoking,2005-09-09,2273984,Q840872,7.187,13.427,24793509,95327
My Big Fat Greek Wedding,2002-04-19,431333,Q525415,6.5,36.384,368744044,176717
The Boat That Rocked,2009-04-01,16596475,Q856805,7.249,17.224,36348784,29300
City Lights,1931-02-01,73401,Q238211,8.306,14.114,4250000,44618
Hitman's Wife's Bodyguard,2021-06-14,58947700,Q61951885,6.71,23.808,70060492,68683
Rashomon,1950-08-26,187603,Q135465,8.124,22.65,96568,185679
Premium Rush,2012-08-24,28297691,Q1320875,6.317,19.984,31083599,14183
Julie & Julia,2009-08-06,17055534,Q380848,6.693,15.137,129540499,103203
Small Soldiers,1998-07-10,171939,Q1332263,6.524,22.75,54682547,129407
Bone Tomahawk,2015-10-23,43955132,Q18198599,6.827,11.923,0,581329
Hot Shots!,1991-07-31,1048388,Q832105,6.552,23.375,181096164,71503
She's Out of My League,2010-03-11,16936786,Q140009,6.453,26.062,49779728,144108
The Christmas Chronicles,2018-11-22,58480021,Q56615750,7.155,14.043,0,134284
Videodrome,1983-02-04,456587,Q747551,7.296,18.446,2120439,146997
American Pie Presents: Band Camp,2005-10-31,2606345,Q261044,5.454,30.762,0,14322
Step Up Revolution,2012-07-26,31795894,Q81044,6.919,27.484,140470746,26474
A Fish Called Wanda,1988-07-15,308898,Q466186,7.201,19.318,62493712,144124
The 400 Blows,1959-06-03,202140,Q162331,8.061,14.392,0,63544
Sixteen Candles,1984-05-04,685977,Q572616,6.8,16.277,23686027,329296
A Bad Moms Christmas,2017-08-04,53945884,Q29832507,6.314,13.988,130560428,96260
Licorice Pizza,2021-11-26,60058274,Q102036245,7.002,21.93,27423319,296557
She's All That,1999-01-29,1051820,Q464584,6.327,21.041,103166989,272447
Trolls World Tour,2020-03-11,53659543,Q29825830,7.349,33.796,49276818,206512
Bad Santa,2003-11-26,320496,Q527380,6.514,20.286,76490720,169050
Don't Worry Darling,2022-09-21,61502597,Q100801718,6.81,30.556,86669039,604057
Hannah Montana: The Movie,2009-04-10,12758034,Q220591,6.603,18.833,155545279,67481
Dragonball Evolution,2009-03-12,14241872,Q653303,2.89,31.433,58228460,115009
The Skeleton Key,2005-07-29,2096043,Q1199793,6.603,17.24,93983911,121054
Office Christmas Party,2016-11-25,49497418,Q23755403,5.652,18.016,114501299,69355
Coyote Ugly,2000-07-30,2361396,Q683734,6.244,21.963,113916474,174552
A Dangerous Method,2011-09-30,28075240,Q188159,6.344,18.045,27462041,87186
The Invention of Lying,2009-10-02,22726015,Q178966,6.183,21.508,32406507,96503
Attack the Block,2011-05-12,30088768,Q757865,6.453,17.818,3964682,31157
A Serious Man,2009-09-30,19226290,Q300555,6.761,11.582,31430334,205842
Two Weeks Notice,2002-12-19,633883,Q719823,6.353,18.312,199043242,89347
Rough Night,2017-06-15,48832211,Q27701601,5.691,17.511,45056771,63710
Seeking a Friend for the End of the World,2012-06-22,32026934,Q759448,6.555,16.459,9636289,56204
American Pie Presents: The Naked Mile,2006-12-21,5673173,Q466383,5.497,38.761,0,7004
Not Another Teen Movie,2001-12-07,1519350,Q1145848,5.78,32.55,66468332,222304
Mean Streets,1973-10-14,18996,Q841335,7.093,14.22,3000000,116779
Harold & Kumar Go to White Castle,2004-05-30,873469,Q607643,6.522,17.191,23936908,114733
Spy Game,2001-11-18,289591,Q1049139,6.921,17.954,143049560,117944
Robin Hood: Men in Tights,1993-07-28,556241,Q1334948,6.6,17.306,35739755,166491
The Negotiator,1998-07-29,159447,Q1428715,7.1,18.029,44547681,56775
Cheaper by the Dozen 2,2005-12-21,1922815,Q911128,6.138,29.418,129181830,69396
Raising Arizona,1987-03-01,279813,Q670439,7.0,17.373,29180280,176354
The Bridge on the River Kwai,1957-10-11,42856,Q188718,7.83,18.514,44908000,221260
Babylon A.D.,2008-08-20,4881898,Q797938,5.572,19.719,72109200,16058
Letters from Iwo Jima,2006-12-19,14725310,Q275187,7.457,20.303,68673228,87208
The Return of the Living Dead,1985-04-25,3979809,Q1475119,7.133,18.868,14237880,166520
A Man Called Otto,2022-12-28,69951338,Q111608782,7.814,60.746,108961677,324622
Hunt for the Wilderpeople,2016-03-31,49200910,Q22236109,7.689,15.889,23915910,84120
We Were Soldiers,2002-03-01,1011468,Q623502,7.129,22.279,114660784,207408
The Life of David Gale,2003-02-21,359571,Q591175,7.417,17.026,38955598,79688
Cool Runnings,1993-10-01,1428132,Q282748,6.989,15.821,154856263,150291
The 6th Day,2000-11-17,798491,Q633133,5.959,20.21,96085477,56172
The Hot Chick,2002-12-13,227291,Q1131279,6.346,28.729,54639553,156616
Scream VI,2023-03-08,69998370,Q112183099,7.2,231.85,168961389,491890
Hostel: Part II,2007-06-08,4572965,Q1048645,5.814,19.122,35728183,100433
Orphan: First Kill,2022-07-27,65745505,Q101229556,6.716,58.37,9572765,115833
The Santa Clause,1994-11-11,144415,Q497850,6.436,20.073,189833357,252391
Knock at the Cabin,2023-02-01,68388340,Q111684978,6.351,68.135,54708659,413609
Footloose,1984-02-17,877743,Q627533,6.661,22.03,80035402,341107
Roman Holiday,1953-08-26,76310,Q201293,7.885,22.102,12000000,134647
Hall Pass,2011-02-25,26554437,Q1128745,5.658,18.543,83200000,97558
Couples Retreat,2009-09-19,20332464,Q1462222,5.542,25.325,171844840,97888
The Omen,1976-06-25,186856,Q836298,7.398,22.227,60922980,428940
Extraction 2,2023-06-09,68822913,Q108690659,7.487,180.216,0,140147
The Wolf's Call,2019-02-20,60174677,Q60852120,7.551,16.72,12652790,431
The Rundown,2003-09-26,284697,Q557488,6.444,26.144,80916492,89507
Daybreakers,2009-10-01,11381825,Q1128499,6.276,22.527,51417188,65700
Gnomeo & Juliet,2011-01-13,27609842,Q753677,5.85,25.847,189712432,92014
"Salò, or the 120 Days of Sodom",1976-01-10,28623,Q657977,6.414,34.518,22017,403971
Step Up 3D,2010-08-04,22845644,Q81037,6.816,28.581,159291809,30042
The Lost Boys,1987-07-31,673472,Q506403,7.0,36.706,32222567,396072
Easy Rider,1969-06-26,73444,Q503638,7.1,21.278,60000000,197406
16 Blocks,2006-03-01,2190622,Q169000,6.424,18.368,65664721,14998
Out of the Furnace,2013-11-09,35518523,Q3061288,6.578,16.703,15400000,106129
The House Bunny,2008-08-22,18640305,Q466959,5.649,26.66,70442940,111802
Velvet Buzzsaw,2019-02-01,56595069,Q50649572,5.352,13.798,0,42721
A View to a Kill,1985-05-24,583932,Q332368,6.214,23.951,152427960,113324
21 Bridges,2019-10-24,57878730,Q58411015,6.757,16.605,49939757,88053
Tall Girl,2019-09-13,59800766,Q61450800,6.352,14.878,0,108183
The Faculty,1998-12-25,308430,Q373267,6.508,20.906,40283321,174900
Repo Men,2010-03-18,11827016,Q1460779,6.312,16.084,18409891,47097
Boyz n the Hood,1991-07-12,155997,Q896103,7.611,27.176,57504069,361866
To All the Boys: Always and Forever,2021-02-12,63086564,Q85321374,7.593,23.054,0,43755
Ip Man 4: The Finale,2019-12-19,53630823,Q54958357,7.257,11.457,176345966,11576
The Tuxedo,2002-09-27,277713,Q634493,5.696,18.798,104391623,13277
Octopussy,1983-06-05,541642,Q204398,6.325,30.541,187500000,159955
Machete Kills,2013-09-12,35818946,Q128187,5.591,17.971,15008161,69105
Nosferatu,1922-02-16,82423,Q151895,7.7,21.105,19054,1256397
"I, Frankenstein",2014-01-22,34914699,Q2708907,5.306,18.408,76801179,40633
Army of Thieves,2021-10-27,65213428,Q104854877,6.867,22.46,46900000,116737
The Fabelmans,2022-11-11,67051114,Q107710009,7.723,35.675,45598614,281062
Maid in Manhattan,2002-12-13,1755731,Q749661,6.098,21.194,154906693,86059
Bend It Like Beckham,2002-04-11,249876,Q369492,6.298,19.841,76578641,117804
Indiana Jones and the Dial of Destiny,2023-06-28,48725418,Q24278982,6.679,579.252,382891104,769395
The Dinner Game,1998-04-15,2618174,Q655315,7.788,11.3,78599508,394
Escape Room: Tournament of Champions,2021-07-01,63658354,Q64027971,6.58,28.594,65774490,124651
American Pie Presents: Beta House,2007-12-26,10501623,Q466329,5.633,36.426,18610260,5459
Saturday Night Fever,1977-12-16,54175,Q47654,6.714,20.571,237113184,286658
Two Night Stand,2014-09-26,39464494,Q15283257,6.423,9.481,868081,2422
Paranormal Activity 4,2012-10-17,34312285,Q1144954,5.418,21.36,142802657,76852
Scouts Guide to the Zombie Apocalypse,2015-10-23,42739493,Q17112933,6.507,39.091,14860766,53955
Star Trek II: The Wrath of Khan,1982-06-04,27098,Q465478,7.5,18.646,96800000,148360
Mr. Holmes,2015-06-19,40463536,Q17344458,6.467,14.376,29355203,52450
The Family Man,2000-12-12,101813,Q428551,6.768,19.483,124700000,260076
Halloween 4: The Return of Michael Myers,1988-10-21,2002258,Q959853,6.202,23.297,17800000,94042
A Serbian Film,2010-06-16,26761606,Q300552,5.5,29.812,1541,539960
Licence to Kill,1989-06-13,449547,Q309086,6.364,28.11,156167015,127666
Twin Peaks: Fire Walk with Me,1992-06-03,245515,Q1140578,7.343,34.12,4184990,185946
The Kissing Booth 3,2021-08-11,64654458,Q97738255,6.97,22.22,0,73914
The Woman King,2022-09-16,67526128,Q109905743,7.749,67.582,97250903,165114
Role Models,2008-11-07,13253566,Q706858,6.492,16.802,92380927,91165
I'm Thinking of Ending Things,2020-08-28,59237086,Q63226470,6.581,18.443,0,196624
I Can Quit Whenever I Want,2014-02-06,43225116,Q16606856,7.432,6.514,54606,0
Serpico,1973-12-18,163459,Q657079,7.544,16.565,29800000,140136
Crocodile Dundee,1986-09-26,331586,Q615254,6.385,17.847,328203506,181633
The Counselor,2013-10-25,36615611,Q3061599,5.266,15.71,71009334,97950
Jaws 2,1978-06-16,352795,Q1199834,5.964,24.336,187884007,126438
Tango & Cash,1989-12-22,1986156,Q571197,6.422,24.659,63408614,59426
Miss Congeniality 2: Armed and Fabulous,2005-03-11,1744593,Q572221,5.736,22.73,101393569,20677
All About My Mother,1999-04-16,61664,Q329805,7.7,15.851,67872296,39292
"Dude, Where's My Car?",2000-12-15,1389153,Q933798,5.547,13.079,73180723,105606
A Haunted House,2013-01-11,37552898,Q3178409,5.871,33.048,60141683,55243
Dragon Ball Z: Resurrection 'F',2015-04-18,44430479,Q17476655,6.812,57.816,61768190,25972
Elite Squad: The Enemy Within,2010-10-08,28385798,Q142695,7.812,28.655,63027681,183
Nanny McPhee and the Big Bang,2010-03-26,23380332,Q785249,6.276,25.575,93251121,19939
"Planes, Trains and Automobiles",1987-11-26,1397377,Q736788,7.234,19.657,49500000,289789
Analyze This,1999-03-05,945029,Q1141746,6.483,21.966,176885658,60530
Bride of Chucky,1998-10-16,30865068,Q1089303,6.0,45.827,50671850,110419
Drive Angry,2011-02-24,26508187,Q1259409,5.475,21.158,40909909,53913
Dante's Peak,1997-02-07,410036,Q914247,6.176,24.966,178127760,121221
Monty Python's The Meaning of Life,1983-03-31,205512,Q24980,7.32,16.931,14949697,48723
Enter the Dragon,1973-08-17,10193,Q331617,7.425,29.796,21485066,117477
Team America: World Police,2004-10-10,900231,Q907640,6.711,22.931,50907422,159993
Magic Mike XXL,2015-07-01,43719778,Q17893055,6.16,16.848,117813057,71869
House at the End of the Street,2012-09-21,33316658,Q498297,5.792,21.816,44287131,80217
Hot Shots! Part Deux,1993-05-21,1416397,Q843198,6.522,27.868,133752825,34356
La Dolce Vita,1960-02-05,557036,Q18407,8.136,17.131,19647000,120325
Free Willy,1993-07-16,568034,Q473628,6.17,18.862,153698625,139657
The Core,2003-03-28,210155,Q1051469,5.771,23.669,74208267,112535
Son of the Mask,2005-02-18,1402997,Q459398,4.117,28.019,0,82011
Before We Go,2014-09-04,40243958,Q16822530,6.713,12.699,37151,87518
Napoleon Dynamite,2004-06-11,882119,Q1133772,6.772,17.367,46118097,548178
The Last Boy Scout,1991-12-13,706878,Q785719,6.782,22.581,59509925,156171
RoboCop 2,1990-06-22,1330220,Q834021,6.0,28.049,45681173,85537
The Third Man,1949-08-31,71473,Q271830,7.949,16.097,1226098,190932
Trick 'r Treat,2007-10-26,10380700,Q1686936,6.98,25.188,0,201597
Outside the Wire,2021-01-15,58089713,Q104241071,6.388,22.501,0,17286
The Death of Stalin,2017-10-20,50525028,Q24905490,7.011,13.714,24640027,180584
The Midnight Sky,2020-12-10,61128264,Q71767482,5.766,15.638,70018,100763
Another Cinderella Story,2008-09-16,14942228,Q550520,6.829,25.868,0,56046
The 13th Warrior,1999-08-13,89818,Q748030,6.657,24.27,61698899,130624
Blazing Saddles,1974-02-07,3837,Q957323,7.262,21.07,119500000,378017
Little Nicky,2000-11-10,1011854,Q267866,5.863,20.729,58292295,128670
The Unforgivable,2021-11-24,63000177,Q84366178,7.468,13.999,0,191398
Sister Act 2: Back in the Habit,1993-12-09,949131,Q1140762,6.375,36.972,57319029,111192
What Lies Beneath,2000-07-21,594815,Q570481,6.411,18.876,291420351,201173
Dinner for Schmucks,2010-07-30,25526577,Q1226599,5.681,17.298,86387857,74602
Guy Ritchie's The Covenant,2023-04-19,68929059,Q110819073,7.814,188.559,20000000,406583
Pain and Glory,2019-03-22,57922312,Q55609803,7.423,12.452,37359689,22316
WarGames,1983-06-03,34130,Q504697,7.07,21.873,124600000,201586
The Waterboy,1998-11-06,340276,Q1574222,6.05,28.401,185991646,208865
Ron's Gone Wrong,2021-10-14,60799825,Q106299119,7.968,28.551,60692022,76522
Romancing the Stone,1984-03-30,578001,Q502629,6.8,20.248,86572238,135652
Bill & Ted's Excellent Adventure,1989-02-17,23808966,Q795042,6.858,18.022,40485039,129761
Superhero Movie,2008-03-28,13364985,Q783880,5.231,19.445,25871834,96375
Hotel Transylvania: Transformania,2022-02-25,61827651,Q65973230,6.998,102.4,0,128288
Triangle of Sadness,2022-09-18,64426264,Q97304180,7.125,30.999,24733572,276010
The Voices,2014-01-19,39410002,Q15040678,6.249,10.094,0,77387
Miss Sloane,2016-11-25,49227892,Q22350785,7.459,14.087,9101546,138945
The Guardians of the Galaxy Holiday Special,2022-11-25,66072084,Q106729096,7.225,46.523,0,44156
Winter's Bone,2010-06-11,26012433,Q301049,6.8,19.183,13831503,191002
Lars and the Real Girl,2007-10-12,12685170,Q926789,7.1,23.641,11293663,120655
Child's Play 2,1990-11-09,534812,Q1089281,6.237,38.325,35763605,78492
Blades of Glory,2007-03-30,5264560,Q1212139,6.105,16.44,118200000,106439
Paperman,2012-11-02,36030847,Q2252695,7.999,15.954,0,302
American Pie Presents: The Book of Love,2009-12-22,22457596,Q466291,5.268,34.808,5021219,5721
Dancer in the Dark,2000-06-30,256713,Q110365,7.869,18.067,40031879,104699
Get Him to the Greek,2010-06-03,19861657,Q940139,5.962,18.403,90029656,109348
Whatever Works,2009-06-19,18788912,Q692208,7.107,13.419,36020534,6642
Snakes on a Plane,2006-08-17,2826890,Q822660,5.415,26.45,62022014,87096
City of Ember,2008-10-07,11845883,Q1094125,6.301,18.698,17869048,80631
Enter the Void,2009-06-17,22740984,Q1327671,7.35,19.428,754249,73527
Double Indemnity,1944-06-14,73438,Q478209,8.132,20.719,2500000,134301
The Texas Chainsaw Massacre: The Beginning,2006-10-05,3237559,Q642016,6.122,38.53,107363905,60632
Violent Night,2022-11-30,69287585,Q111170246,7.479,60.01,75734910,148215
The Magnificent Seven,1960-10-12,31556,Q19069,7.517,26.08,4905000,259593
Margin Call,2011-02-11,27863892,Q624614,6.83,20.996,19504039,377455
Star Trek: First Contact,1996-11-22,27097,Q221236,7.3,34.161,150000000,99582
Tootsie,1982-12-17,76394,Q221249,7.202,19.232,177200000,156670
Beverly Hills Cop III,1994-05-24,1138104,Q654736,5.9,21.189,119208989,209303
Suburbicon,2017-10-26,48775124,Q25646568,5.876,12.968,12751667,56404
In the Name of the Father,1993-12-12,133671,Q304074,7.896,15.973,65796862,134366
Eight Below,2006-02-17,2698372,Q571164,6.989,16.003,120455994,74358
Taxi 2,2000-03-25,1124048,Q756572,6.231,17.224,64400000,0
Take Shelter,2011-09-30,31918569,Q762877,7.036,13.027,3099314,201458
The Living Daylights,1987-06-29,566713,Q272064,6.505,20.543,191185897,86710
Race to Witch Mountain,2009-03-12,17111814,Q922006,5.813,23.286,106303988,64077
"OSS 117: Cairo, Nest of Spies",2006-04-19,8827343,Q1189436,7.253,14.299,0,279
The Wedding Singer,1998-02-13,454655,Q1133316,6.769,15.439,123306987,137679
Arthur and the Revenge of Maltazard,2009-11-26,24043885,Q389466,5.729,18.48,0,3014
Dora and the Lost City of Gold,2019-08-08,55607552,Q56064745,6.674,24.131,120597108,136288
The Fourth Kind,2009-11-06,23992760,Q475789,6.302,22.56,47709193,125952
30 Minutes or Less,2011-08-11,28370864,Q224133,5.744,24.317,40547440,35832
Eden Lake,2008-09-12,981884,Q1283552,6.795,36.75,3984669,203389
Mr. Brooks,2007-06-01,5101743,Q548906,6.904,14.708,48443734,60899
A Separation,2011-02-15,30547958,Q640561,7.899,12.135,24426169,22326
Alibi.com,2017-02-15,53274445,Q28001090,6.484,9.486,29370592,0
Volver,2006-03-17,4927911,Q209667,7.47,13.97,85582407,12745
Mona Lisa Smile,2003-12-19,883489,Q642546,6.92,20.981,0,319944
Ip Man 3,2015-12-24,46223967,Q19757672,7.005,18.276,157029618,6337
Do the Right Thing,1989-06-14,73428,Q1141252,7.756,12.08,37300000,284244
Fighting with My Family,2019-02-14,53133327,Q28840410,6.859,23.287,39055536,124967
Matchstick Men,2003-09-12,4354571,Q4536,6.985,11.439,65565672,84346
Star Trek: The Motion Picture,1979-12-07,277006,Q107940,6.5,40.282,139000000,147057
Ride Along 2,2016-01-14,39411577,Q17903453,6.241,20.139,124827316,41562
The Ice Age Adventures of Buck Wild,2022-01-28,68410164,Q105992748,6.676,70.458,0,81431
A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,3037946,Q373362,6.672,17.767,44800000,113874
Cado dalle nubi,2009-11-27,49208139,Q3649482,6.712,7.143,0,0
Brüno,2009-07-08,17997162,Q926309,5.619,13.343,138805831,67084
Honest Thief,2020-09-03,58733929,Q59238943,6.526,24.647,31220247,43886
Life in a Year,2020-11-27,63985777,Q96387452,8.29,30.503,0,82196
The Boxtrolls,2014-09-10,39212450,Q12103758,6.669,18.627,108255770,67445
Michael Clayton,2007-09-28,5968326,Q694140,6.767,16.062,92991835,184827
"I Love You, Man",2009-03-20,16706073,Q958257,6.545,22.154,91980359,88926
Dr. Dolittle 2,2001-06-22,735291,Q1253887,5.288,16.296,176104344,31846
Spectral,2016-12-09,43539350,Q17763215,6.421,24.743,0,43870
Ong-Bak,2003-01-21,878005,Q831437,7.089,32.665,20112926,17665
Superman III,1983-06-17,1059701,Q528095,5.491,24.198,75850624,116662
One Hour Photo,2002-08-21,933060,Q990976,6.64,14.385,52223306,133577
Music and Lyrics,2007-02-09,8548898,Q826815,6.408,20.553,145896422,37163
The Wedding Planner,2001-01-26,31079,Q591362,5.911,17.657,94728529,108142
The Forbidden Kingdom,2008-04-18,6703617,Q176568,6.615,31.475,127906624,62140
Made of Honor,2008-04-30,14461347,Q463938,6.446,16.646,106407672,47885
Meet the Spartans,2008-01-24,13814165,Q741257,4.031,24.426,85897593,42534
Chungking Express,1994-07-14,213471,Q766263,7.998,27.933,0,132451
Sex and the City 2,2010-05-26,23091532,Q739502,6.1,19.338,290745055,124281
Monster-in-Law,2005-05-13,1881893,Q682904,6.178,20.868,154749918,41555
The Boy Who Harnessed the Wind,2019-02-14,59694699,Q60738660,7.93,29.761,0,63630
It's Only the End of the World,2016-08-26,46857902,Q19885882,7.231,12.821,0,263
Failure to Launch,2006-03-10,3978163,Q228936,5.764,15.915,128406887,89729
Barton Fink,1991-08-01,320401,Q237215,7.453,18.404,6153939,114940
Alvin and the Chipmunks: The Road Chip,2015-12-17,45297718,Q19801728,6.0,30.212,233755553,72176
G.I. Jane,1997-08-19,706803,Q526690,6.435,24.978,48169156,115166
Super Size Me,2004-01-17,640370,Q738662,6.741,10.989,28575078,427271
Talladega Nights: The Ballad of Ricky Bobby,2006-08-04,2886036,Q1421593,6.346,18.695,162966177,250206
I Love You Phillip Morris,2009-01-18,17908468,Q1128867,6.416,15.758,20768906,84792
The 15:17 to Paris,2018-02-07,54525359,Q31204331,5.423,16.183,57076286,30023
The Angry Birds Movie 2,2019-08-02,51418274,Q18722273,7.119,29.899,147792047,104841
The Brand New Testament,2015-09-02,46494339,Q19827977,6.655,9.293,15709652,2197
The Conversation,1974-04-07,66853,Q1009788,7.528,18.055,4420000,238245
Cats & Dogs,2001-07-04,957792,Q1051315,5.381,16.7,93375151,68466
Any Given Sunday,1999-12-22,222500,Q482662,6.831,20.69,100230832,118752
The Unbearable Weight of Massive Talent,2022-04-20,64300244,Q87220566,6.801,34.057,29116320,269018
The Ice Road,2021-06-24,65295325,Q104681809,6.912,29.361,7502846,60913
Texas Chainsaw 3D,2013-01-03,32291194,Q1832350,5.445,33.684,47340586,78425
The Last Emperor,1987-10-04,129246,Q212775,7.624,19.387,43984230,171405
Ruby Sparks,2012-07-25,35587809,Q210111,7.108,14.755,9128263,47431
Speed 2: Cruise Control,1997-06-13,1046769,Q831800,4.565,22.116,164508066,72433
Billy Madison,1995-02-10,736222,Q372299,6.185,21.61,26488734,191658
All Is Lost,2013-08-23,37108086,Q2837490,6.6,15.682,6108720,50821
Another Earth,2011-07-22,30296552,Q567996,6.708,17.378,1938783,31520
The Wedding Ringer,2015-01-16,40566429,Q17049587,6.488,25.863,79799880,47386
Smokin' Aces,2006-12-09,3936140,Q605453,6.474,15.32,57103895,81764
Get the Gringo,2012-03-15,32832210,Q403442,6.533,21.501,0,8057
Miller's Crossing,1990-09-21,55495,Q130142,7.452,17.717,5080409,147243
Alex Strangelove,2018-04-16,57154439,Q51900452,6.58,10.844,0,293
A Perfect World,1993-11-24,3555900,Q174683,7.47,18.233,135130999,72749
The Possession,2012-08-30,35874213,Q1972417,6.028,22.918,85446075,41462
Just Friends,2005-11-23,3154528,Q1292187,6.169,18.433,50817508,116192
Rebel Without a Cause,1955-10-27,76040,Q426346,7.531,17.801,4500000,163588
Halloween H20: 20 Years Later,1998-08-05,957928,Q1050815,6.022,23.883,75000000,125079
The Full Monty,1997-08-13,142453,Q775970,6.99,14.254,257850122,78507
Lady Vengeance,2005-07-29,1751944,Q495134,7.554,23.436,23803308,50320
Sideways,2004-10-22,1144172,Q675937,7.089,19.85,109502303,231180
Happy Feet Two,2011-11-17,25230514,Q816857,6.118,26.839,150406466,77525
Mississippi Burning,1988-12-08,129410,Q918367,7.672,22.077,34604000,217590
Big Momma's House 2,2006-01-26,2759477,Q859084,5.741,32.259,138259062,45332
In the Mouth of Madness,1995-02-03,343684,Q1214972,7.216,14.562,8946600,130426
Iron Sky,2012-04-04,11036762,Q158398,5.69,12.086,10109659,44491
The Pale Blue Eye,2022-12-22,66914834,Q105986042,6.901,34.677,0,132820
